Text,Target
багшаар өөр байгууллагад шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
байгууллага бүтцийн өөрчлөлт орсон,нутаг дотроо шилжин ажиллахаар болсон
байгууллага татан буугдсан,халагдсан
байгууллага хооронд шилжих,нутаг дотроо шилжин ажиллахаар болсон
байгууллага хооронд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
байгууллага өөрчлөгдсөн,өөрийн хүсэлтээр
байгууллагын нэр өөрчлөгдсөн,өөрийн хүсэлтээр
байгууллагын цомхотголоор,халагдсан
байршил солих,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршлийн шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршлын улмаас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршлын шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
банязүрх сум татан буугдсан,өөрийн хүсэлтээр
батцэнгэл сумын хүүхдийн цэцэрлэгийн эрхлэгчээр томилогдсон,дэвшин ажиллахаар
баянбулаг сумын биеийн тамирын багш,нутаг дотроо шилжин ажиллахаар болсон
баяндалай уруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
баяндэлгэр шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
баянхонгор сумын 45р цэцэрлэгийн нягтлан бодогчоор тушаал дэвшсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
бзтцийн өөрчлөлт,халагдсан
бие даасан цэцэрлэг болсон,өөрийн хүсэлтээр
биентамирын багшийн сонгон шалгаруулалтанд тэнцэн 10р цэцэрлэгт ажилласан,нутаг дотроо шилжин ажиллахаар болсон
боловсролын газар арга зүйчээр ажиллах болсон,дэвшин ажиллахаар
боловсролын газрын даргаар томилогдсон,дэвшин ажиллахаар
боловсролын газрын мэргэжилтнээр ажиллахаар,дэвшин ажиллахаар
боловсролын салбарын байгууллагын нягтлан болсон,дэвшин ажиллахаар
боловсролын хэлтэст арга зүйчээр,дэвшин ажиллахаар
борөндөр сумын энхжин 1 цэцэрлэгт эрхлэгчээр ажилласан,хөдөө орон нутаг руу шилжин ажиллахаар болсон
бугат дунд сургуульд багш,нутаг дотроо шилжин ажиллахаар болсон
бусад,өөрийн хүсэлтээр
буцаад 15 дугаар цэцэрлэгт ажиллахаар болсон,нутаг дотроо шилжин ажиллахаар болсон
буянт бдсд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
бэлтгэгчээр 10н жилийн сургуульд,нутаг дотроо шилжин ажиллахаар болсон
бүжинхэн төмөр замын цэцэрлэгт арга зүйчээр орсон,нутаг дотроо шилжин ажиллахаар болсон
бүлгийн багшаар ажиллах болсон,дэвшин ажиллахаар
бүрэнтогтох сумруу,хөдөө орон нутаг руу шилжин ажиллахаар болсон
бүрэнхаан цэцэрлэгт менежерээр ажилд орсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
бүтцийн өөрчлөлт,халагдсан
бүтцийн өөрчлөлтөөр,халагдсан
бүтцийн өөрчлөлтөөр 4р сургуульд хуваарилагдсан,нутаг дотроо шилжин ажиллахаар болсон
бүтцийн өөрчлөлтөөр цогцолбор сургууль 2 бие даасан сургууль болсон,халагдсан
бүтцийн өөрчлөлтөөр өөр сургуульд шилжин ажилласан,нутаг дотроо шилжин ажиллахаар болсон
бүтэц зоихон байгуулалтын өөрчлөлтөөр,нутаг дотроо шилжин ажиллахаар болсон
бүтэц орон тоо шинэчилж баталсантай холбогдуулан,нутаг дотроо шилжин ажиллахаар болсон
гаа 3 цэцэрлэгт ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
газар байгаль орчин босоо удирдлагатай болж аймгийн харьяалалд шилжсэн,өөрийн хүсэлтээр
говийн бүсийн арга зүйн төвийг үнэлгээ мэдээлэл арга зүйн төвтэй нэгтгэж шинээр зохион байгуулагдсан,өөрийн хүсэлтээр
говьалтай аймгийн буконторт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
говьсүмбэр аймагруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
голомт цогцобор сургууль,нутаг дотроо шилжин ажиллахаар болсон
голомт цогцолбор,нутаг дотроо шилжин ажиллахаар болсон
голомт цогцолбор сургуульд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
гурилын үйлдвэрт орсон,нутаг дотроо шилжин ажиллахаар болсон
гэр бүл улаанбаатар хот руу шилжсэн тул ажлаас чөлөөлөгдсөн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн хамт хөтөл хот руу шилжин амьдарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн хүн сэлэнгэ аймагт ажлаар томилогдсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн хүн өөр суманд ажиллах болсон тул шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн хүнийг даган шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн хүнийг даган өвөрхангай аймагт шилжин ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн хүнээ дагаж,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээ дагаж уб хот,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээ даган шилжих,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээр хөтөл хот руу шилжих болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээрээ шилжиж амьдрахаар болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээрээ шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэрлэсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэртэй ойр сургуульд орон тоо гарсан учир,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэртэйгээ ойр 108р цэцэрлэгт шилжин ажилласан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэрээгэээр бсшуяны дэргэдэх хэрэгжилтийн багт ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
гэрээт хугацаа дууссан,гэрээний хугацаа дууссан
дзоубын цэцэрлэгийн өмч хархорин сумын 1р цэцэрлэгт шилжиж улсын цэцэрлэг болсон,өөрийн хүсэлтээр
ду 4р сургуульд дууны багшаар шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
ду аймгийн 4р сургуульд багшаар шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархан уул аймгийн орхон сумын 9р цэцэрлэгт шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархан уул аймагруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархан нэхий эдлэлийн үйлдвэрт хувуурилагдсан,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархан техникийн дээд сургууль гэж байх үед ажиллаж байсан 2010 оноос датстай нэгдсэн болно,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархан уул аймгийн шг сумын 2р сургуульруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархануул аймаг шилжих болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархануул аймагруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархануул аймагт шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархануул аймгийн 1р сургуульд сургалтын менежерээр ажиллахаар болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархануул аймгийн 18р цэцэрлэгт ажиллахаар,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархануул аймгийн 21р цэцэрлэгт шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархануул аймгийн орхон суманд шилуин суурьшихаар,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дархануул аймгийн технизийн коллежид шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
декреттэй хүний оронд түр ажиллаж байсан,хүний оронд түр ажиллаж байсан
дикериттэй хүний оронд байсан,хүний оронд түр ажиллаж байсан
дикридтэй хүний оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
дорнод бөхийн өргөөнд ажилд орсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дорнод казахстаны улсын их сургуулийн баянөлгий аймаг дахь сургуульд ажиллах болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дорнод аймгийн сүмбэр сумын сум дундын эмнэлэгийн эрхлэгч,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дорнод дээд сургуульд сөбын дидактикийн багшийн сонгон шалгаруулалтанд тэнцсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дорнодын гурван загал сумын боловсролын хэлтэст,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дотуур байрын багшаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
дунд сургуульд багшаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
дундговь аймаг шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дундговь аймгийн 4р сургуульд шилжин ажиллахаар болсон тул,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дэвшиж явсан,дэвшин ажиллахаар
дэвшин ажилласан,дэвшин ажиллахаар
дэвшин ажиллах,дэвшин ажиллахаар
дэвшсэн,дэвшин ажиллахаар
дэвшсэн ажилласан,дэвшин ажиллахаар
дэвшсэн,дэвшин ажиллахаар
дэгдээхий цэцэрлэгт ажиллахаар болсон,нутаг дотроо шилжин ажиллахаар болсон
дэлгэрхаан суманд ажиллахаар шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дэлгэрхангай сумын итхын дарга,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дэлгэрцогт сумын эмтөвийн нягтлан бодогчоор ажилд орорх болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дэлгэрцогт сумын сургуулийн багшаар шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
дүүргийн боловсролын хэлтсийн сөб хариуцсан мэргэжилтэн,дэвшин ажиллахаар
еб 127 сургуульд багшаар орох,нутаг дотроо шилжин ажиллахаар болсон
ебын 6р сургуульруу шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
ебс д биеийн тамирын багшаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
ебсд хөгжмийн багшаар ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
ебсд багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
ебсд орсон,нутаг дотроо шилжин ажиллахаар болсон
ебсийн сургуулийн нягтлан бодогчоор томилогдсон,дэвшин ажиллахаар
ебснасан туршийн багшаар,нутаг дотроо шилжин ажиллахаар болсон
ебсургжжльд багшлахаар,нутаг дотроо шилжин ажиллахаар болсон
ерөнхий боловсролын сургуулийн нягтлан бодогчоор томилогдон шилжсэн,дэвшин ажиллахаар
ерөнхий боловсролын сургуульд багшаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
жавхлант ебсд жижүүрээр ажилд орсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
жавхлант сумын ерөнхий боловсролд жижүүрээр ацилд орсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
жаргалант сумын цэцэрлэгийн эрхлэгчээр томилогдсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
жаргалтхаан сум шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
жаргалтхаан суманд шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
жирэмсний амралт аваад тухайн байгууллага бүтцийн өөрчлөлт орсон,жирэмсний амралт
жирэмсний амралттай багш ажилдаа эргэж орсон,хүний оронд түр ажиллаж байсан
жирэмсний амралттай багшийн орон тоон дээр ажиллаж байсан,хүний оронд түр ажиллаж байсан
жирэмсний амралттай хүний оронд түр ажиллаж байгаад өөр цэцэрлэгт арга зүйчээр шилжив,хүний оронд түр ажиллаж байсан
згын тогтоолоор санхүү алба үүссэний улмаас сумын здтгт боловсрол хариуцсан нягтлан бодогчоор шилжсэн,дэвшин ажиллахаар
здтгт харяаълагддаг болсон,өөрийн хүсэлтээр
здтгт шилжсэн,дэвшин ажиллахаар
здтгын нягтлан бодогч хийж байгаад сургуулийн нягтлан бодогчоор ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
здтгазарт няраваар ажиллах болсон тул,дэвшин ажиллахаар
заамар сум руу шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
завхан аймгийн худалдааны техник мэргэжлийн сургуулийг төгссөн,нутаг дотроо шилжин ажиллахаар болсон
засаг даргын захирамжаар бүх ажилчдыг өөр цэцэрлэгт шилжүүлсэн,нутаг дотроо шилжин ажиллахаар болсон
засаг даргын тамгын газар,нутаг дотроо шилжин ажиллахаар болсон
захирал,дэвшин ажиллахаар
захиргааны шийдвэрээр,халагдсан
зуунмод хотын 6р цэцэрлэгт томилогдсон,нутаг дотроо шилжин ажиллахаар болсон
зүүн бүрэн сумын 10 жилийн сургуулийн захирлын 03 тоот тушаалаар чөлөөлөв,халагдсан
итхын даргаар томилогдсон,дэвшин ажиллахаар
иргэний нисэхийн үндэсний төв,нутаг дотроо шилжин ажиллахаар болсон
их засагт багшилахаар,хот суурин газар руу шилжин ажиллахаар болсон
их сургуульд багшлах,хот суурин газар руу шилжин ажиллахаар болсон
ихуул ебсд шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
мохсд цалин өндөр тул ахлах нягтлан бодогчоор ажилд орсон,дэвшин ажиллахаар
мсүтд сургалтын албаны даргаар ажиллах болсон,дэвшин ажиллахаар
мхбд ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
мандал сургууль шинээр үүсэж тус сургуулийн багш сурагчид шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
могойн бага сургуульд жижүүрээр орсон,нутаг дотроо шилжин ажиллахаар болсон
монгени сургуульд шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
мэдлэг боловсролоо дээшлүүлэн сурч эзэмшсэн мэргэжлийнхээ дагуу шилжиж ажиллахаар чөлөөлөглсөн,өөрийн хүсэлтээр
мэргэд сургуульд математикийн багшаар,нутаг дотроо шилжин ажиллахаар болсон
мэргэжлийн ажил гарсан тул өөрийн хүсэлтээр ажлаас чөлөөлөгдсөн,өөрийн хүсэлтээр
мэргэжлийн ажилд орсон,өөрийн хүсэлтээр
мэргэжлийн ажилд шилжих,өөрийн хүсэлтээр
мэргэжлийн ажилдаа орох болсон,өөрийн хүсэлтээр
мэргэжлийн ажилдаа орсон,өөрийн хүсэлтээр
мэргэжлийн ажилдаа шилжсэн орсон,өөрийн хүсэлтээр
мэргэжлийн арга зүйчээ хийх өөрийн хүсэлтээр,дэвшин ажиллахаар
мэргэжлийн дагуу ажилд орсон,өөрийн хүсэлтээр
мэргэжлээ сольсон,өөрийн хүсэлтээр
мэргэжлээрээ ажилд орсон,өөрийн хүсэлтээр
мэргэжлээрээ ажиллах,өөрийн хүсэлтээр
мэргэжлээрээ ажиллах болсон,өөрийн хүсэлтээр
мэргэжлээрээ өөр сургуульд ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
мянгад сумын хүүхдийн цэцэрлэгт багшаар ажилд орсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
мөнххааэ ебсд эмчийн ажилд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
мөрөн 1р цэцэрлэгт багшаар ажиллах болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
мөрөн 12р цэцэрлэгийн эрхлэгчээр томилогдсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
мөрөн 7р цэцэрлэгт эрхлэгчээр ажиллаж эхэлсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
мөрөн сум руу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
мөрөн хотын 1 арван жилд багшлах болсон тул,хөдөө орон нутаг руу шилжин ажиллахаар болсон
нааүгт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
нб ын даргын тушаалаар сургууль цэцэрлэгийн нягтлан бодогчдыг сэлгэн ажиллуулсан,нутаг дотроо шилжин ажиллахаар болсон
нтбын захирлаар,дэвшин ажиллахаар
намын шугамаар ажлаас чөлөөлсөн,
нийгмийн ажилтнаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
нийгмийн даатгалын хэлтэст шилжин ажилласан,нутаг дотроо шилжин ажиллахаар болсон
нийслэлийн боловсролын газрын даргын тушаалаар өөр цэцэрлэгт эрхлэгчээр томилогдсон,дэвшин ажиллахаар
нутагтаа нөхөр хүүхдээ дагаад ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
нэр өөрчлөгдсөн,өөрийн хүсэлтээр
нягтлан бодогч нарыг сэлгэсэн,нутаг дотроо шилжин ажиллахаар болсон
нягтлан бодогчоор дэвшсэн,дэвшин ажиллахаар
нүүн шилжилт,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
нөхөр аймгийн төвд ажиллахаар болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
охуд 1 жил туршлага солилцор суралцахаар явсан,мэргэжил дээшлүүлэхээр
орон тоо хасагдсан,халагдсан
орон нутагруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
орон тоо,халагдсан
орон тоо байхгүй,халагдсан
орон тооны илүүдлээр захын конторт шилжүүлэв,нутаг дотроо шилжин ажиллахаар болсон
орон тооны цомхотголд орсон,халагдсан
оронд нь ажиллаж байсан багш ажилдаа орох болсон тул өөр байгууллага руу шилжсэн,хүний оронд түр ажиллаж байсан
орхон аймаг,хөдөө орон нутаг руу шилжин ажиллахаар болсон
орхон аймгийн боловсрол соёл урлагийн газарт ахлах мэргэжилтэнээр ажилласан,хөдөө орон нутаг руу шилжин ажиллахаар болсон
оршин сугаа газар ойртож ажиллахаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
оршин суугаа газар шилжилтээр,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
оршин суугаа газрын ойр байршилаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
оюуны өргөө цэцэрлэгт,нутаг дотроо шилжин ажиллахаар болсон
сбд ийн 225 р цэцэрлэгт эрхлэгчээр томилогдсон,дэвшин ажиллахаар
сбдийн 150р цэцэрлэгийн эрхлэгчээр томилогдсон,дэвшин ажиллахаар
сбдийн 16р смургуульд захирлаар томилогдов,дэвшин ажиллахаар
сбдийн 71 дүгээр сургуульд сургалтын менежерээр шилжин ажиллах болсон,дэвшин ажиллахаар
сбдн 69р цэцэрлэгт арга зүйч болсон,дэвшин ажиллахаар
схдийн 156р цэцэрлэгт арга зүйчээр дэвшин ажиллахаар болсон,дэвшин ажиллахаар
схтн хэлтсийн даргын шийдвэрээр 4р цэцэрлэгийн ерөнхий няглан бодогчоор томилогдсон,дэвшин ажиллахаар
сайншанд сумын 12р цэцэрлэгт арга зүйчээр орсон,дэвшин ажиллахаар
сайхан сумын итхын даргын албан тушаалд шилжсэн,дэвшин ажиллахаар
санхүү алба байгуулагдаж сумын здтгт шилжсэн,дэвшин ажиллахаар
санхүүгий албанаас буцаад өөрийн байгууллагад хамаарагдах болсон,нутаг дотроо шилжин ажиллахаар болсон
санхүүгийн алба байгулагдаж засаг даргын тамгын газарт боловсролын байгууллага хариуцсан нягтлан бодогч томилогдсон,дэвшин ажиллахаар
санхүүгийн алба байгуулагдаж байгууллагын нягтлангууд здтгт шилжсэн,дэвшин ажиллахаар
санхүүгийн алба тарсан,халагдсан
санхүүгийн алба шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
санхүүгийн алба шинээр үүсэн байгуулагдсан,нутаг дотроо шилжин ажиллахаар болсон
санхүүгийн алба үүсч байгууллагууд нэгтгэгдээд өөр байгууллагаруу шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
сод ирээдүй цогцолбор цэцэрлэгт багшаар шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
сонгинохайрхан дүүргийн боловсролын хэлтэсээс тухайн байгууллагад олон жил ажилласан гээд сэлгэн ажиллуулсан,нутаг дотроо шилжин ажиллахаар болсон
сонгон шалгаруулалтаар орхон баянөндөр баянцагаан багийн 24р цэцэрлэгийн эрхлэгчээр томилогдсон,дэвшин ажиллахаар
сонгон шалгаруулалтаар тэнцэж өлзийт сумын цэцэрлэгийн эрхлэгчийн албан тушаалд томилогдсон,дэвшин ажиллахаар
сонгон шалгаруулалтаар улаангом сумын цогцолбор 1р сургуульд захирал болсон тул,дэвшин ажиллахаар
сонгон шалгаруулалтаар эрхлэгчийн албан тушаалд томилогдсон,дэвшин ажиллахаар
сонгуулийн үр дүн,өөрийн хүсэлтээр
сонгууль,өөрийн хүсэлтээр
соёлын төвийн эрхлэгчээр,дэвшин ажиллахаар
соёлын төвийн эрхлэгчээр ажиллах болсон,дэвшин ажиллахаар
соёлын төвийн эрхлэгчээр томилогдсон,дэвшин ажиллахаар
сувиллын яслид сувилагч багшаар,нутаг дотроо шилжин ажиллахаар болсон
сум 8000 дээш хүн амтай учир санхүүгийн алба байхаа больж нягтлангууд байгууллагаруугаа буцсан,нутаг дотроо шилжин ажиллахаар болсон
сум татан буугдаж шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
сум татан буугдсан,өөрийн хүсэлтээр
сумаас аймагт шилжиж ирсэн,хот суурин газар руу шилжин ажиллахаар болсон
сумын здтгын даргаар томилогдсон,дэвшин ажиллахаар
сумын засаг даргаар томилогдсон,дэвшин ажиллахаар
сумын соёлын төвийн эрхлэгчээр ажиллах болсон,дэвшин ажиллахаар
суралцагчдын элсэлтийн тоо багассанаар багшийн заах хичээлийн цагийн хүрэлцээ багассан,өөрийн хүсэлтээр
сургалтын менежер болсон,дэвшин ажиллахаар
сургалтын өөр байгууллагад шилжин ажилласан,нутаг дотроо шилжин ажиллахаар болсон
сургуулийн бага ангийн багшийн ажилд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
сургуулийн эмчээр ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
сургууль татан буугдсан,өөрийн хүсэлтээр
сургууль төгссөн,мэргэжил дээшлүүлэхээр
сургууль хуваагдсан,өөрийн хүсэлтээр
сургуульд суралцан багшаар ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
сургуульд ажиллахаар болсон,нутаг дотроо шилжин ажиллахаар болсон
сургуульд багшаар ажилласан,нутаг дотроо шилжин ажиллахаар болсон
сургуульд багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
сургуульд багшлах болсон,нутаг дотроо шилжин ажиллахаар болсон
сургуульд байрын багш болсон,нутаг дотроо шилжин ажиллахаар болсон
сургуульд сурах,мэргэжил дээшлүүлэхээр
сургуульд хөгжмийн багшийн орон тоо,нутаг дотроо шилжин ажиллахаар болсон
сусын итхн даргаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
сэлгэгдсэн,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажиллаж байгаа,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажилласан,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажиллах,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажиллах тушаалаар чөлөөлөгдсөн,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажиллахаар болсон,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажиллуулах,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажиллуулах журамын дагуу,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажиллуулахаар,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажиллуулсан,нутаг дотроо шилжин ажиллахаар болсон
сэлгэн ажилуулах,нутаг дотроо шилжин ажиллахаар болсон
сэлгэх шилжилт хөдөлгөөн,нутаг дотроо шилжин ажиллахаар болсон
сэлгээ,нутаг дотроо шилжин ажиллахаар болсон
сэлгээгээр өөр цэцэрлэгт шилжүүлсэн,нутаг дотроо шилжин ажиллахаар болсон
сэлэнгэ аймгийн ндхд хувиаараа төлөлт хийсэн хувиараа япон хэл заасан төлбөрөөрөө,нутаг дотроо шилжин ажиллахаар болсон
сэлэнгэ сумын захирлаар томилогдсон,тэтгэвэрт гарсан
сүхбаатар аймгийн 7р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
сүхбаатар баруунурт 4р бдс биеийн тамирын багш,хөдөө орон нутаг руу шилжин ажиллахаар болсон
сүхбаатар сум руу ар гэр нь нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
сүхбаатар сумын iii 8н жилийн сургуульд шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
сөбын байгууллага бие даан ажиллах болмон,нутаг дотроо шилжин ажиллахаар болсон
сөбсийн сургууль төгсөж мэргэжлээрээ ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
тмс төгссөн тул аймгийн хаан удирдах газар шилжүүлэв,нутаг дотроо шилжин ажиллахаар болсон
тус сумын цэцэрлэгт ажиллах,нутаг дотроо шилжин ажиллахаар болсон
тамгын газрын нягтлан бодогч болсон,дэвшин ажиллахаар
тамгын газрын нягтлангаас чөлөөлж ебсд нягтлан болгож өөрчилсөн,нутаг дотроо шилжин ажиллахаар болсон
тарагт сумын ебсийн нярав болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
тарни бага сургуульд багш дутагдалтай,хөдөө орон нутаг руу шилжин ажиллахаар болсон
татан буугдсан,халагдсан
тахарын албанд шилжин томилогдсон,нутаг дотроо шилжин ажиллахаар болсон
техник комм,нутаг дотроо шилжин ажиллахаар болсон
томилгоогоор шинэ зам нэгдэлд шилжсэн,ажиллаж байгаа
томилолт,ажиллаж байгаа
томилолтоор,ажиллаж байгаа
тонхил сумд багшаар,хөдөө орон нутаг руу шилжин ажиллахаар болсон
тус цэцэрлэг нь дахин төлөвлөлтөнд үрж шинээр баригдаж байгаа тул 157р цэцэрлэгт түр ажилуулахаар шилжүүлэв,нутаг дотроо шилжин ажиллахаар болсон
тус цэцэрлэг нь дахин төлөлвлөлтөнд орж шинээр баригдаж байгаа тул 157р цэцэрлэгт түр ажилуулхаар шилжүүлэв,нутаг дотроо шилжин ажиллахаар болсон
тухайн байгууллага нь чандмань илч төрийн өмчит хкд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
тухайн байгууллага нь хэнтий аймгийн борөндөр убүийн харьяанд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
тухайн байгууллага татан буугдсан,өөрийн хүсэлтээр
тухайн сумын засаг даргын тамгын газарт дэвшиж ажиллахаар болсон,дэвшин ажиллахаар
тухайн цэцэрлэг татан буугдсан,өөрийн хүсэлтээр
тушаал дэвшиж чд 103р цэцэрлэгт эрхлэгчээр орсон,дэвшин ажиллахаар
тушаал дэвшиж бүлгийн багшаар ажилласан,дэвшин ажиллахаар
тушаал дэвшин шилжсэн,дэвшин ажиллахаар
тушаал дэвшсэн,дэвшин ажиллахаар
тушаал дэвшсэн,дэвшин ажиллахаар
тэтгэвэрт гарсан,тэтгэвэрт гарсан
түр,хүний оронд түр ажиллаж байсан
